# Supertokens for English (204609 total, sorted by frequency)

piece of shit (3 atoms, 31 occurrences)
coffee is (2 atoms, 30 occurrences)
no more (2 atoms, 30 occurrences)
as long as (3 atoms, 30 occurrences)
take place (2 atoms, 30 occurrences)
you got it (3 atoms, 30 occurrences)
dog is (2 atoms, 30 occurrences)
no time (2 atoms, 30 occurrences)
nothing but (2 atoms, 30 occurrences)
everyone else (2 atoms, 30 occurrences)
closed the (2 atoms, 30 occurrences)
a list (2 atoms, 30 occurrences)
at a time (3 atoms, 30 occurrences)
waste of time (3 atoms, 30 occurrences)
between us (2 atoms, 30 occurrences)
for sale (2 atoms, 30 occurrences)
close to (2 atoms, 30 occurrences)
bad weather (2 atoms, 30 occurrences)
is all (2 atoms, 30 occurrences)
phone call (2 atoms, 29 occurrences)
out the window (3 atoms, 29 occurrences)
my God (2 atoms, 29 occurrences)
will have (2 atoms, 29 occurrences)
you wish (2 atoms, 29 occurrences)
I plan (2 atoms, 29 occurrences)
keep on (2 atoms, 29 occurrences)
stay out (2 atoms, 29 occurrences)
on top of (3 atoms, 29 occurrences)
get lost (2 atoms, 29 occurrences)
come by (2 atoms, 29 occurrences)
let me tell you (4 atoms, 29 occurrences)
I know it (3 atoms, 29 occurrences)
once more (2 atoms, 29 occurrences)
around the corner (3 atoms, 29 occurrences)
piece of cake (3 atoms, 29 occurrences)
a language (2 atoms, 29 occurrences)
get in the (3 atoms, 29 occurrences)
agree with (2 atoms, 29 occurrences)
no matter what (3 atoms, 29 occurrences)
like I (2 atoms, 29 occurrences)
boy is (2 atoms, 29 occurrences)
you thinking (2 atoms, 29 occurrences)
shut the door (3 atoms, 29 occurrences)
except for (2 atoms, 29 occurrences)
old lady (2 atoms, 29 occurrences)
pay attention (2 atoms, 29 occurrences)
little longer (2 atoms, 29 occurrences)
at school (2 atoms, 29 occurrences)
anyone else (2 atoms, 28 occurrences)
hands on (2 atoms, 28 occurrences)
long hair (2 atoms, 28 occurrences)
bring it (2 atoms, 28 occurrences)
next door (2 atoms, 28 occurrences)
in the dark (3 atoms, 28 occurrences)
there for (2 atoms, 28 occurrences)
the other day (3 atoms, 28 occurrences)
come up (2 atoms, 28 occurrences)
me too (2 atoms, 28 occurrences)
lie down (2 atoms, 28 occurrences)
the whole world (3 atoms, 28 occurrences)
around the world (3 atoms, 28 occurrences)
on the door (3 atoms, 28 occurrences)
some kind of (3 atoms, 28 occurrences)
hate this (2 atoms, 28 occurrences)
how do you like (4 atoms, 28 occurrences)
do without (2 atoms, 28 occurrences)
try not (2 atoms, 28 occurrences)
is wrong with (3 atoms, 28 occurrences)
run away (2 atoms, 28 occurrences)
how come (2 atoms, 28 occurrences)
would rather (2 atoms, 28 occurrences)
all over (2 atoms, 28 occurrences)
get up early (3 atoms, 28 occurrences)
every other (2 atoms, 27 occurrences)
you learn to (3 atoms, 27 occurrences)
lock the (2 atoms, 27 occurrences)
come up with (3 atoms, 27 occurrences)
young lady (2 atoms, 27 occurrences)
hard work (2 atoms, 27 occurrences)
then it (2 atoms, 27 occurrences)
are afraid (2 atoms, 27 occurrences)
cut down (2 atoms, 27 occurrences)
look out (2 atoms, 27 occurrences)
I speak to (3 atoms, 27 occurrences)
cell phone (2 atoms, 27 occurrences)
go down (2 atoms, 27 occurrences)
down with (2 atoms, 27 occurrences)
know each other (3 atoms, 27 occurrences)
I use your (3 atoms, 27 occurrences)
a lot to (3 atoms, 27 occurrences)
you looking for (3 atoms, 27 occurrences)
table is (2 atoms, 27 occurrences)
something in (2 atoms, 27 occurrences)
like some (2 atoms, 27 occurrences)
only way (2 atoms, 27 occurrences)
now that (2 atoms, 27 occurrences)
free time (2 atoms, 27 occurrences)
ladies and gentlemen (3 atoms, 27 occurrences)
husband is (2 atoms, 27 occurrences)
out of the way (4 atoms, 27 occurrences)
one minute (2 atoms, 27 occurrences)
a game (2 atoms, 27 occurrences)
come along (2 atoms, 27 occurrences)
sleep in (2 atoms, 26 occurrences)
turn off (2 atoms, 26 occurrences)
lost your (2 atoms, 26 occurrences)
look up (2 atoms, 26 occurrences)
you wearing (2 atoms, 26 occurrences)
in the wind (3 atoms, 26 occurrences)
old friend (2 atoms, 26 occurrences)
dress is (2 atoms, 26 occurrences)
never mind (2 atoms, 26 occurrences)
any more (2 atoms, 26 occurrences)
never do (2 atoms, 26 occurrences)
comes the (2 atoms, 26 occurrences)
on the road (3 atoms, 26 occurrences)
not just (2 atoms, 26 occurrences)
at the moment (3 atoms, 26 occurrences)
door open (2 atoms, 26 occurrences)
me if you (3 atoms, 26 occurrences)
older brother (2 atoms, 26 occurrences)
meant to (2 atoms, 26 occurrences)
made up (2 atoms, 26 occurrences)
one more time (3 atoms, 26 occurrences)
just want to be (4 atoms, 26 occurrences)
course I (2 atoms, 26 occurrences)
be careful not (3 atoms, 25 occurrences)
all of a sudden (4 atoms, 25 occurrences)
long have you been (4 atoms, 25 occurrences)
see that (2 atoms, 25 occurrences)
me what you (3 atoms, 25 occurrences)
for now (2 atoms, 25 occurrences)
keep quiet (2 atoms, 25 occurrences)
by a car (3 atoms, 25 occurrences)
am sorry (2 atoms, 25 occurrences)
if only (2 atoms, 25 occurrences)
under control (2 atoms, 25 occurrences)
three hundred (2 atoms, 25 occurrences)
like that (2 atoms, 25 occurrences)
credit card (2 atoms, 25 occurrences)
bad luck (2 atoms, 25 occurrences)
go through (2 atoms, 25 occurrences)
learn how (2 atoms, 25 occurrences)
Jesus Christ (2 atoms, 25 occurrences)
say no (2 atoms, 25 occurrences)
hang on (2 atoms, 25 occurrences)
not bad (2 atoms, 25 occurrences)
what time is it (4 atoms, 25 occurrences)
not go (2 atoms, 25 occurrences)
but if (2 atoms, 25 occurrences)
dream is to (3 atoms, 25 occurrences)
in my opinion (3 atoms, 25 occurrences)
in order (2 atoms, 25 occurrences)
let me give (3 atoms, 25 occurrences)
just told (2 atoms, 25 occurrences)
have a few (3 atoms, 25 occurrences)
house has (2 atoms, 25 occurrences)
way too (2 atoms, 24 occurrences)
that now (2 atoms, 24 occurrences)
what should I do (4 atoms, 24 occurrences)
yes, and (3 atoms, 24 occurrences)
in the future (3 atoms, 24 occurrences)
slow down (2 atoms, 24 occurrences)
one another (2 atoms, 24 occurrences)
where should (2 atoms, 24 occurrences)
by heart (2 atoms, 24 occurrences)
now and then (3 atoms, 24 occurrences)
know everything (2 atoms, 24 occurrences)
too late (2 atoms, 24 occurrences)
take a break (3 atoms, 24 occurrences)
me if (2 atoms, 24 occurrences)
you manage (2 atoms, 24 occurrences)
on board (2 atoms, 24 occurrences)
just need (2 atoms, 24 occurrences)
set out (2 atoms, 24 occurrences)
hit me (2 atoms, 24 occurrences)
be on (2 atoms, 24 occurrences)
clean up (2 atoms, 24 occurrences)
no use (2 atoms, 24 occurrences)
