ABC순	ABC	순
거드럭거리다	거드럭	거리다
거드럭대다	거드럭	대다
거든거든히	거든거든	히
거든그뜨리다	거든그	뜨리다
거든그트리다	거든그	트리다
거든하다	거든	하다
거들거들	거들	거들
거들거들하다	거들거들	하다
거들거리다	거들	거리다
거들대다	거들	대다
거들먹거리다	거들먹	거리다
거들먹대다	거들먹	대다
거들먹이다	거들먹	이다
거듬거듬하다	거듬거듬	하다
거듭닿소리	거듭	닿소리
거듭씨	거듭	씨
거듭제곱근	거듭	제곱	근
거듭홀소리	거듭	홀소리
거뜬거뜬히	거뜬거뜬	히
거뜬하다	거뜬	하다
거란어	한자 契丹語, 또는 거란	어.
거래하다	거래	하다
거룩하다	거룩	하다 < 중세 한국어 거륵ᄒᆞ다
거류민	거류	민
거만하다	거만	하다
거만히	거만	히
거머누르께하다	거머누르께	하다
거머무트름하다	거머무트름	하다
거머번질하다	거머번질	하다
거머희뜩	검어	희뜩
거무께하다	거무께	하다
거무끄름하다	거무끄름	하다
